Date;Time;Location;Lat.;Long.;Casualty;Mag.;Focal Depth (km);Fault Mechanism,,,,
1903;01:46;Malazgirt, Muþ;39,14;42,65;600;6.3 (Ms);30;,
1912;03:29;Mürefte Tekirdað;40,75;27,20;216;7.4 (Ms);10;Strike-slip,,
1914;00:07;Burdur;37,82;30,27;300;7.0 (Ms);10;,,
1924;16:34;Horasan, Erzurum;40,00;42,10;60;6.8 (Ms);10;,
1928;02:29;Ýzmir;38,50;28,00;50;6.2 (Ms);35;,,
1929;08:37;Suþehri, Sivas;40,20;37,90;64;6.1 (Ms);10;,
1935;16:41;Erdek, Balýkesir;40,40;27,50;5;6.2 (Ms);35;,
1938;12:59;Kýrþehir;39,10;34,00;160;6.6 (Ms);10;Strike-slip,,
1939;02:36;Dikili,Ýzmir;39,10;26,80;60;6.6 (Ms);10;,
1939;23:57;Erzincan;39,77;39,53;32700;7.9 (Ms);20;Strike-slip,,
1942;19:01;Bigadiç, Balýkesir;39,20;28,20;16;6.1 (Ms);10;,
1942;14:03;Erbaa, Tokat;40,87;36,47;3000;7.0 (Ms);10;,
1943;17:32;Hendek, Adapazarý;40,60;30,50;336;6.6 (Ms);10;Strike-slip,
1943;22:24;Ladik, Samsun;41,05;33,72;4000;7.2 (Ms);10;,
1944;03:25;Gerede, Bolu;40,80;32,20;3959;7.3 (Ms);10;Strike-slip,
1944;04:34;Ayvalýk, Balýkesir;39,37;26,53;30;6.8 (Ms);40;Normal,
1949;20:43;Karlýova, Bingöl;39,54;40,57;450;6.7 (Ms);40;Strike-slip,
1951;18:36;Kurþunlu, Çankýrý;40,88;32,87;50;6.9 (Ms);10;Strike-slip,
1953;21:06;Yenice, Çanakkale;40,02;27,53;265;7.2 (Ms);10;Strike-slip,
1955;09:07;Söke, Aydýn;37,55;27,05;23;6.8 (Ms);40;Normal,
1957;04:25;Fethiye, Muðla;36,50;28,60;67;7.1 (Ms);80;Strike-slip,
1957;06:36;Abant, Bolu;40,67;31,00;52;7.1 (Ms);10;Strike-slip,
1964;16:31;Manyas, Balýkesir;40,10;27,93;23;7.0 (Ms);34;Normal,
1966;12:23;Varto, Muþ;39,17;41,56;2396;6.9 (Ms);26;Reverse,
1967;16:56;Mudurnu, Adapazarý;40,67;30,69;89;6.8 (Ms);33;Strike-slip,
1968;10:19;Bartýn;41,79;32,31;29;6.5 (Ms);5;Strike-slip,,
1969;03:48;Alaþehir, Manisa;38,50;28,40;53;6.5 (Ms);4;Normal,
1970;23:02;Gediz, Kutahya;39,20;29,50;1086;7.2 (Ms);18;Normal,
1971;16:44;Bingöl;38,83;40,52;1000+;6.8 (Ms);3;Strike-slip,,
1975;12:20;Lice, Diyarbakýr;38,50;40,70;2385;6.6 (Ms);32;Reverse,
1976;14:22;Muradiye, Van;39,12;44,03;3840;7.2 (Mw);9;Strike-slip,
1983;07:12;Erzurum;40,33;42,19;1155;6.6 (Mw);15;Strike-slip,,
1992;17:18;Erzincan;39,70;39,69;498;6.6 (Mw);22;Strike-slip,,
1995;17:57;Dinar, Afyon;38,06;30,13;90;6.4 (Mw);31;Normal,
1998;16:55;Ceyhan, Adana;36,88;35,31;146;6.3 (Ms);10;Strike-slip,
1999;03:02;Ýzmit;40,77;30,00;17118;7.5 (Mw);15;Strike-slip,,
1999;18:57;Düzce;40,75;31,16;894;7.1 (Mw);11;Strike-slip,,
2002;07:11;Sultandaðý, Afyon;38,57;31,27;44;6.5 (Mw);5;Normal,
2003;05:26;Pülümür, Tunceli;39,46;39,79;1;6.0 (Mw);15;Strike-slip,
2003;00:27;Bingöl;39,01;40,46;177;6.3 (Mw);10;Strike-slip,,
2010;04:32;Karakoçan, Elâzýð;38,87;39,99;41;6,1 (Mw);5;Strike-slip
2011;01:41;Tabanlý, Van;38,76;43,36;601;7.1 (Mw);19;Reverse,
